shoe,x,y,type,orientation,grade
5,0.129796,0.231038,2,41.24568,6.515849
5,0.120959,0.235182,2,76.883779,3.598458
5,0.121494,0.229028,2,47.478177,1.718692
5,-0.126909,-0.233272,2,-9.57222,1.925421
5,0.118398,0.301062,2,17.788485,5.722847
5,0.12247,0.292665,2,-88.084391,3.060292
5,0.130053,0.281158,2,-37.622947,6.517733
5,0.142465,0.338535,2,87.732087,6.478613
5,0.111317,0.336867,3,-60.782205,33.479066
5,0.109331,0.359045,2,23.293188,14.626472
5,0.096297,0.412995,1,72.05711,7.971515
5,0.078722,0.444008,2,2.802772,3.027619
5,0.078874,0.413413,2,33.656588,6.052356
5,0.065484,0.353732,2,-76.752472,3.042857
5,-0.076862,-0.243197,2,52.404147,4.518986
5,0.061852,0.33659,2,67.788532,8.916826
5,0.080769,0.292641,2,-87.587567,1.851896
5,0.073921,0.299145,2,29.311981,3.119918
5,0.069738,0.303469,1,-13.312569,14.273597
5,0.052593,0.287343,2,10.816234,1.811557
5,0.077751,0.269336,2,10.567682,3.567296
5,0.070711,0.20808,2,-32.56185,2.006507
5,0.077794,0.211865,2,68.453496,5.369703
5,0.086894,0.226035,2,22.585741,2.826036
5,0.062089,0.21552,1,86.393957,65.685697
6,-0.083534,-0.427703,1,-79.63112,13.533622
6,0.101617,-0.311306,4,-20.150296,1.708488
6,-0.125958,0.313967,2,-73.178395,3.698034
6,0.085473,0.18462,1,-45.540173,13.820791
6,0.056151,0.387237,2,84.564017,1.125622
6,0.070659,-0.04456,2,-43.987267,2.722784
6,0.062437,-0.037076,2,-82.194395,4.668968
6,0.08628,0.020545,2,78.507587,2.175902
6,0.138853,0.144714,4,-45.366415,1.61497
6,0.112412,0.141799,2,-48.733743,2.129342
6,0.086035,0.405593,2,1.685672,1.396567
6,0.06904,0.40163,2,83.818919,1.76461
6,0.106345,0.386123,2,-70.514103,6.45044
6,0.111322,0.384807,2,72.05738,4.781471
6,0.0645,-0.381614,2,6.617747,7.695174
6,0.075873,0.452449,2,25.658459,17.439
6,-0.00344,0.423185,4,-34.105823,11.859649
6,-0.011226,0.4343,2,77.76192,3.94733
6,-0.060194,0.379542,2,-12.224922,5.559269
6,-0.070139,0.382786,1,25.765172,64.355367
6,-0.09878,0.394416,1,26.348937,14.123519
6,-0.079212,0.390286,2,-25.854011,2.367503
6,0.004334,0.342383,1,-73.16942,41.637162
6,-0.013274,0.332827,2,-78.293763,3.310869
6,-0.012546,0.355101,2,-89.529965,2.511288
6,0.074319,-0.378427,4,71.908597,3.849484
6,-0.018144,0.344575,2,18.966015,8.229136
6,0.008194,0.326269,2,-77.010948,7.642221
6,0.007687,0.266776,2,-75.395684,1.908034
6,0.004074,0.27828,2,-2.677062,1.716928
6,0.007858,0.161145,2,72.66451,2.896096
6,-0.000418,0.097223,1,9.439189,23.177555
6,-0.011158,0.065671,1,73.286529,21.805478
6,0.133097,0.330631,4,-54.489254,6.392678
6,0.107138,0.331635,2,64.325074,2.550699
6,0.106972,0.338751,1,62.353229,92.800557
6,0.079049,-0.39784,1,-68.168834,19.644149
6,0.067911,0.264927,1,7.076886,80.437713
6,0.069108,0.285172,2,-69.551629,2.66199
6,0.031344,-0.035205,2,-82.44366,10.871504
6,0.026956,-0.02109,3,-33.266851,297.32729
6,-0.098312,-0.048769,1,24.117069,33.875794
6,-0.096243,-0.05388,2,-42.104736,1.550151
6,-0.156053,0.028959,2,68.654802,1.791039
6,-0.115693,0.009302,2,43.011265,10.762734
6,-0.135948,0.006828,1,69.070944,14.642496
6,-0.129927,0.006985,2,39.413818,5.724065
6,0.116833,-0.259191,1,84.095076,28.109547
6,-0.165277,0.13872,2,-89.662388,1.923406
6,-0.178725,0.142712,1,23.329174,55.226836
